Model,Dataset,Accuracy,Precision,Recall,F1,ROC_AUC,Confusion_Matrix,Train_Time
LogisticRegression,Train,0.9666309934170411,0.9722636973301279,0.9603669587171443,0.966278711511013,0.9947684528826441,"[[78517  2192]
 [ 3171 76838]]",37.90126276016235
LogisticRegression,Validation,0.9591753774680604,0.965347998344273,0.9521726450860309,0.9587150575522668,0.9922999371633426,"[[16709   586]
 [  820 16325]]",37.90126276016235
RandomForest,Train,0.8582734976791647,0.950573934402998,0.7545401142371483,0.841288200783177,0.9562585791140152,"[[77570  3139]
 [19639 60370]]",38.020914793014526
RandomForest,Validation,0.8536585365853658,0.9414338852016629,0.752872557596967,0.8366606170598911,0.9518799458152919,"[[16492   803]
 [ 4237 12908]]",38.020914793014526
LightGBM,Train,0.9554436964123496,0.9652802616115681,0.9444687472659326,0.9547611075663485,0.9924969660386871,"[[77991  2718]
 [ 4443 75566]]",439.6157283782959
LightGBM,Validation,0.945993031358885,0.9553715068819639,0.9351997666958297,0.9451780240509314,0.9883762790227495,"[[16546   749]
 [ 1111 16034]]",439.6157283782959
